comments,star
很俗套的劇情 但還是哭了啊  ,4
续集的煽情多了些刻意 整体而言仍是非常不错的温馨家庭片 在人类的社会里 越长大越孤单 越长大越不安 越长大越多烦恼 相比之下狗子的世界则单纯的多 愿好人一生平安 愿好狗一生幸运 最猛的催泪弹依然在结尾有预谋的成功引爆啊   一人一狗在麦田幻境中欢快地奔跑的画面好温暖     那么多道别 我离开了那么多次 每次他都在我身边 这次有我在他身边  ,5
比第一部好看点  涉及方面比第一部多一点难免会出现一些bug  特伦特万年备胎挺可怜  最后伊森跟狗老大的互动太催泪 ,4
看的点映 有宠物的朋友可以去看看 没看过1 其实一开始不想看的觉得肯定会哭 被朋友硬拉去的 自打养猫以后我看妖猫传墓里黑猫挠石棺我都难受心想我家虎子这样可怎么办 捂脸    岁数越大越脆弱我女爷们儿的人设要崩 ,4
大华好像北航小哥哥啊 看着看着越看越像居然脸红心跳起来 但是刚刚看到了小哥哥疑似心有所属的朋友圈 瞬间凉透了 电影没有想象中好 主要是录屏很多实在是 放在国内妥妥烂片 家庭温情剧 合家欢路线 但是剧情实在太差拍脑袋写剧本吗  最满意的是选角把 女主从小美到大 狗狗大的憨厚小的可爱 都好喜欢 大华很帅 我get到了 ,3
完全复制上一部 新鲜感自然要打一些扣折 还行吧,3
续集承接第一部依旧是以狗的视角讲故事 狗狗无数轮回这次是为了保护cj 爱情戏偏多 狗狗完全成为红娘 电影里面的很多细节都很感人 结尾狗狗的使命完成应该是系列完结了吧,3
差不多是快进看完的 说实话第二部继续这样拍已经没有第一部的新鲜感了 难以理解CJ的化妆师是怎么回事 全片她都是一副吸毒的面容 都没考虑过这点吗 ,3
爱狗的女生运气都不会差 ,4
这就是为什么我更喜欢猫 ,3
何必再出2呢 狗尾续貂 ,2
自己在博纳看的 比较治愈,4
把所有狗血套路都在一部片子中体现 也是能耐了 以狗为视觉 以人为中心 连亲人间都不能好好相处 凭什么让一条狗来反复报答 有考虑过狗的感受吗 跟1一样毫无底线的胡扯 为大华点赞 4,2
泪光闪闪 狗狗的轮回 还有声入人心的评委老师 ,4
1 没有第一部好看 2 过度的煽情 有种逼着你 哇好感动  快哭啊 的用力 3 狗狗也没有第一部萌 4 主角人设并不丰满和讨喜 并没有看到她为了追求梦想而做的努力 她所做的 不过是从依附一个人 到依附另一个人而已 5 当然 即使如此我也还是哭了 谁叫我泪点低 6 Henry演技还是有点小尬 不过反正女主演技也只有那样 半斤八两 5 5分 ,3
加上第一部 Boss Dog是有九条尾巴的传家狗 ,3
其实我对忠诚这种美德要求并不高 但编剧刻画了一条极其忠诚的狗 转世给乔这个新主人却非常不忠诚 来体现对女主的忠诚让我感到不适 为了那恋爱的酸臭将男女主强扭在一起也很别扭 非常套路 最重要的是女主看上去自强自立 但从头至尾都在依附男性 这个最让人反感了 ,2
前半段表现平平 到后来max才开始有看点 大华的表现还行吧 1的反响不错所以才有的2 2跟1差不多 没有什么突破 3应该是没有了 ,4
2019 05 25  Mianyang Cinema with Cousions,3
好一般 转世梗也太牵强 有点尬 ,3
狗的戏份太少了 女主角太矫情 纽约那么贵 写破歌赚钱太不现实 还好男主是这个结尾 不然就太韩剧了   ,3
